DISTRITO_ACCIDENTE,COLISIÓN DOBLE                          ,COLISIÓN MÚLTIPLE                       ,CHOQUE CON OBJETO FIJO                  ,ATROPELLO                               ,VUELCO                                  ,CAÍDA MOTOCICLETA                       ,CAÍDA CICLOMOTOR                        ,CAÍDA BICICLETA                         ,CAÍDA VIAJERO BUS                       ,OTRAS CAUSAS                            ,AÑO
VILLA DE VALLECAS             ,124,4,59,40,2.0,15,2.0,1.0,1.0,2.0,2013
VILLAVERDE                    ,163,11,58,64,,9,1.0,1.0,,,2013
ARGANZUELA                    ,335,54,78,59,,60,4.0,15.0,7.0,4.0,2014
BARAJAS                       ,76,1,37,20,2.0,5,2.0,2.0,,1.0,2014
CARABANCHEL                   ,351,53,115,118,2.0,42,11.0,11.0,9.0,2.0,2014
CENTRO                        ,458,48,154,137,2.0,90,12.0,21.0,8.0,9.0,2014
CHAMARTIN                     ,455,56,125,72,13.0,82,10.0,9.0,7.0,9.0,2014
CHAMBERI                      ,399,29,69,91,,87,11.0,4.0,4.0,3.0,2014
CIUDAD LINEAL                 ,380,56,138,82,13.0,60,12.0,7.0,2.0,7.0,2014
FUENCARRAL-EL PARDO           ,295,37,134,87,16.0,43,3.0,22.0,5.0,2.0,2014
HORTALEZA                     ,188,17,89,60,4.0,26,9.0,12.0,2.0,3.0,2014
LATINA                        ,257,27,135,88,5.0,36,7.0,14.0,8.0,6.0,2014
MONCLOA-ARAVACA               ,304,50,178,49,7.0,49,8.0,25.0,3.0,4.0,2014
MORATALAZ                     ,130,27,52,40,4.0,21,6.0,4.0,2.0,5.0,2014
PUENTE DE VALLECAS            ,351,49,122,105,4.0,39,10.0,13.0,6.0,7.0,2014
RETIRO                        ,350,70,54,62,3.0,56,6.0,13.0,4.0,3.0,2014
SALAMANCA                     ,547,71,128,89,1.0,110,12.0,11.0,7.0,5.0,2014
SAN BLAS                      ,298,25,79,62,6.0,40,6.0,20.0,5.0,2.0,2014
TETUAN                        ,333,29,87,91,1.0,81,9.0,6.0,6.0,2.0,2014
USERA                         ,196,34,79,68,2.0,18,2.0,9.0,1.0,,2014
VICALVARO                     ,72,5,41,17,1.0,15,2.0,4.0,,1.0,2014
VILLA DE VALLECAS             ,136,10,49,44,5.0,13,5.0,7.0,1.0,2.0,2014
VILLAVERDE                    ,145,21,54,42,3.0,14,3.0,3.0,2.0,1.0,2014
ARGANZUELA                    ,340,60,66,58,2.0,39,6.0,15.0,7.0,7.0,2015
BARAJAS                       ,77,2,44,24,4.0,18,5.0,7.0,3.0,1.0,2015
CARABANCHEL                   ,367,36,136,120,1.0,42,5.0,11.0,4.0,3.0,2015
CENTRO                        ,474,41,121,124,2.0,109,12.0,37.0,3.0,6.0,2015
CHAMARTIN                     ,504,66,109,91,4.0,96,15.0,12.0,1.0,6.0,2015
CHAMBERI                      ,386,34,62,78,,71,11.0,10.0,3.0,2.0,2015
CIUDAD LINEAL                 ,387,47,111,118,5.0,69,10.0,7.0,4.0,3.0,2015
FUENCARRAL-EL PARDO           ,324,31,132,70,3.0,44,12.0,17.0,4.0,2.0,2015
HORTALEZA                     ,221,21,74,59,3.0,40,6.0,13.0,2.0,1.0,2015
LATINA                        ,289,37,107,90,3.0,31,3.0,9.0,10.0,4.0,2015
MONCLOA-ARAVACA               ,287,64,149,55,8.0,68,7.0,22.0,3.0,1.0,2015
MORATALAZ                     ,132,25,40,34,1.0,22,9.0,4.0,2.0,3.0,2015
PUENTE DE VALLECAS            ,365,50,130,133,5.0,39,7.0,10.0,8.0,4.0,2015
RETIRO                        ,332,60,58,59,1.0,54,8.0,22.0,5.0,2.0,2015
SALAMANCA                     ,447,66,117,82,4.0,96,10.0,13.0,11.0,3.0,2015
SAN BLAS                      ,283,24,69,65,3.0,27,9.0,7.0,4.0,4.0,2015
TETUAN                        ,355,21,71,87,1.0,67,19.0,6.0,3.0,6.0,2015
USERA                         ,199,27,67,65,3.0,15,3.0,3.0,5.0,,2015
VICALVARO                     ,77,7,28,17,3.0,13,1.0,4.0,,1.0,2015
VILLA DE VALLECAS             ,129,5,52,39,2.0,16,4.0,6.0,,2.0,2015
VILLAVERDE                    ,146,12,61,57,2.0,7,4.0,4.0,3.0,2.0,2015
ARGANZUELA                    ,328,62,86,57,1.0,46,12.0,10.0,6.0,2.0,2016
BARAJAS                       ,95,6,50,34,4.0,12,2.0,4.0,2.0,4.0,2016
CARABANCHEL                   ,346,55,121,106,5.0,53,18.0,7.0,8.0,6.0,2016
CENTRO                        ,444,23,172,144,,97,11.0,33.0,5.0,3.0,2016
CHAMARTIN                     ,499,59,122,80,5.0,105,14.0,8.0,5.0,7.0,2016
CHAMBERI                      ,382,26,53,88,,63,10.0,19.0,1.0,5.0,2016
CIUDAD LINEAL                 ,411,57,119,85,4.0,75,15.0,8.0,5.0,8.0,2016
FUENCARRAL-EL PARDO           ,345,30,132,70,6.0,56,18.0,28.0,3.0,4.0,2016
HORTALEZA                     ,248,19,90,56,5.0,33,9.0,10.0,1.0,1.0,2016
LATINA                        ,288,40,119,104,3.0,36,12.0,11.0,7.0,2.0,2016
MONCLOA-ARAVACA               ,294,61,182,54,12.0,68,8.0,27.0,2.0,1.0,2016
MORATALAZ                     ,150,31,53,32,5.0,23,5.0,2.0,4.0,2.0,2016
PUENTE DE VALLECAS            ,386,81,140,118,8.0,41,11.0,11.0,10.0,5.0,2016
RETIRO                        ,344,69,63,56,1.0,67,9.0,33.0,1.0,3.0,2016
SALAMANCA                     ,467,65,111,112,1.0,142,14.0,22.0,14.0,3.0,2016
SAN BLAS                      ,299,20,57,68,3.0,34,6.0,9.0,5.0,,2016
TETUAN                        ,330,43,70,91,,73,25.0,13.0,5.0,3.0,2016
USERA                         ,206,27,74,75,2.0,16,2.0,5.0,4.0,1.0,2016
VICALVARO                     ,70,4,38,22,4.0,15,2.0,3.0,2.0,1.0,2016
VILLA DE VALLECAS             ,149,7,42,54,5.0,26,4.0,4.0,1.0,3.0,2016
VILLAVERDE                    ,177,11,71,54,1.0,8,5.0,6.0,2.0,1.0,2016
